Article ID,Title,Abstract,Title_p,Abstract_p,Date,contains_drug,contains_disease,contains_treatment,contains_symptom,contains_prevention,contains_healthcare_provider,contains_vaccine,contains_diagnosis
38007052,"Sophora tonkinensis and active compounds inhibit mitochondrial impairments, ",Ancient Chinese medicine literature and modern pharmacological studies show that ,sophora tonkinensi activ compound inhibit mitochondri impair,ancient chines medicin literatur modern pharmacolog studi show,2023-11-23,False,True,True,False,False,False,False,False
38006908,Effects of Intensive Blood Pressure Control on Left Ventricular Hypertrophy in ,BACKGROUND: Hypertension adds to the pressure overload on the left ventricle (LV) ,effect intens blood pressur control left ventricular hypertrophi,background hypertens add pressur overload left ventricl lv,2023-11-23,False,True,True,True,False,False,False,False
38006893,Oral and intravenous 1'-cyano-substituted adenosine-like antivirals for early ,,oral intraven antivir earli,,2023-11-22,False,True,False,False,False,False,False,False
38006768,Chagas disease stroke and associated risk factors: A case-control study.,INTRODUCTION: The intricate relationship between Chagas disease and ischemic ,chaga diseas stroke associ risk factor studi,introduct intric relationship chaga diseas ischem,2023-11-24,False,True,False,False,False,False,False,True
38006742,Preventable incidence cases from non-communicable diseases attributable to ,OBJECTIVES: Lack of sufficient physical activity (PA) has been associated with an ,prevent incid case diseas attribut,object lack suffici physic activ pa associ,2023-11-24,False,True,False,False,True,False,False,False
38006678,Post-COVID-19 cardio-pulmonary manifestations after 1-year of SARS-CoV-2 ,BACKGROUND: The evolving challenge of persistent symptoms post-Coronavirus ,manifest,background evolv challeng persist symptom,2023-11-10,False,True,False,True,False,False,False,False
38006501,Characterization and Validation of Radiotracer Kinetics Using the Langendorff ,The Langendorff isolated perfused heart is a physiologically relevant and ,character valid radiotrac kinet use langendorff,langendorff isol perfus heart physiolog relev,,True,True,False,False,False,False,False,False
38006497,Small Animal Multisubject PET/CT Workflow.,Positron emission tomography (PET) is a highly sensitive molecular imaging ,small anim multisubject workflow,positron emiss tomographi pet highli sensit molecular imag,,False,True,False,False,False,False,False,False
38006470,Clinical staging of Anderson-Fabry cardiomyopathy: An operative proposal.,"As a slowly progressive form of hypertrophic cardiomyopathy (HCM), Anderson-Fabry ",clinic stage cardiomyopathi oper propos,slowli progress form hypertroph cardiomyopathi hcm,2023-11-25,False,True,False,False,False,True,False,True
38006371,"Frank's Sign: A Link Between Dermatovenerology, Cardiac Pathology, and Neurology.","Dear Editor, Although some of my colleagues may find this surprising, as a ",frank sign link dermatovenerolog cardiac patholog neurolog,dear editor although colleagu may find surpris,,False,True,False,True,True,False,False,False
38006237,Ticagrelor Enhances the Cardioprotective Effects of Ischemic Preconditioning in ,BACKGROUND: Ticagrelor improves clinical outcomes in patients with acute coronary ,ticagrelor enhanc cardioprotect effect ischem precondit,background ticagrelor improv clinic outcom patient acut coronari,2023-11-24,False,True,False,False,False,False,False,False
38006224,Recent advances in soluble decellularized extracellular matrix for heart tissue ,"Despite the advent of tissue engineering (TE) for the remodeling, restoring, and ",recent advanc solubl decellular extracellular matrix heart tissu,despit advent tissu engin te remodel restor,,True,True,False,False,False,False,False,False
38006208,Rare loss-of-function variants in matrisome genes are enriched in Ebstein's ,"Ebstein's anomaly, a rare congenital heart disease, is distinguished by the ",rare variant matrisom gene enrich ebstein,ebstein anomali rare congenit heart diseas distinguish,2023-11-23,False,True,True,False,False,False,False,True
38006196,Cell Therapy Improves Quality-of-Life in Heart Failure: Outcomes From a Phase III ,Patients with heart failure experience limitations in daily activity and poor ,cell therapi improv heart failur outcom phase iii,patient heart failur experi limit daili activ poor,2023-11-24,True,True,True,True,False,False,False,False
38006044,Trends in Influenza Vaccination Rates among a Medicaid Population from 2016 to ,"Seasonal influenza is a leading cause of death in the U.S., causing significant ",trend influenza vaccin rate among medicaid popul 2016,season influenza lead caus death caus signific,2023-11-11,True,True,False,False,False,False,True,False
38005976,Clinical Utility of SARS-CoV-2 Serological Testing and Defining a Correlate of ,"Herein, we review established clinical use cases for SARS-CoV-2 antibody ",clinic util serolog test defin correl,herein review establish clinic use case antibodi,2023-10-26,False,True,False,False,True,False,True,True
38005894,Varicella-Zoster Virus Reactivation and Increased Vascular Risk in People Living ,BACKGROUND: The increased vascular risk associated with varicella-zoster virus ,viru reactiv increas vascular risk peopl live,background increas vascular risk associ viru,2023-11-06,False,True,False,False,False,False,False,False
38005726,Potential Pharmacological Applications of Nigella Seeds with a Focus on Nigella ,"The leading cause of death worldwide has been identified as chronic illnesses, ",potenti pharmacolog applic nigella seed focu nigella,lead caus death worldwid identifi chronic ill,2023-11-11,False,True,False,False,False,False,False,False
38005362,Vitexin Regulates Heat Shock Protein Expression by Modulating ROS Levels Thereby ,"Heat stress due to high temperatures can cause heat stroke, pyrexia, heat cramps, ",vitexin regul heat shock protein express modul ro level therebi,heat stress due high temperatur caus heat stroke pyrexia heat cramp,2023-11-17,False,True,False,False,True,False,False,False
38005332,Bioactive Peptides from Ruditapes philippinarum Attenuate Hypertension and ,Hypertension is a common disease that affects human health and can lead to damage ,bioactiv peptid ruditap philippinarum attenu hypertens,hypertens common diseas affect human health lead damag,2023-11-15,False,True,False,False,False,False,False,False
38004712,Multidisciplinary Management of Sternal Osteomyelitis Due to Klebsiella aerogenes ,"Sternal wound complications following cardiac surgery, including sternal ",multidisciplinari manag sternal osteomyel due klebsiella aerogen,sternal wound complic follow cardiac surgeri includ sternal,2023-11-03,False,True,True,False,False,False,False,True
38004588,Carob Extract (Ceratonia siliqua L.): Effects on Dyslipidemia and Obesity in a ,Dyslipidemia and obesity are recognized as two of the major global health issues ,carob extract ceratonia siliqua effect dyslipidemia obes,dyslipidemia obes recogn two major global health issu,2023-11-10,False,True,True,False,False,False,False,False
38004395,Ethylmethylhydroxypyridine Succinate Is an Inhibitor but Not a Substrate of ABCB1 ,"2-Ethyl-6-methyl-3-hydroxypyridine succinate (EMHPS, Mexidol) is an original ",ethylmethylhydroxypyridin succin inhibitor substrat abcb1,succin emhp mexidol origin,2023-10-27,True,True,False,False,False,False,False,False
38004373,Comparative Analysis of High-Intensity versus Low-to-Moderate Intensity Statin ,"(1) Background: Moderate-intensity statin therapy, when compared to ",compar analysi versu intens statin,1 background statin therapi compar,2023-11-20,False,True,False,False,False,False,False,False
38004365,Temporal Trends in Diagnostic Hemodynamics and Survival of Patients with ,Advances in the diagnosis and treatment of pulmonary hypertension (PH) have ,tempor trend diagnost hemodynam surviv patient,advanc diagnosi treatment pulmonari hypertens ph,2023-11-19,False,True,True,False,False,False,False,True
38004354,What Links Chronic Kidney Disease and Ischemic Cardiomyopathy? A Comprehensive ,Chronic kidney disease (CKD) emerges as a substantial contributor to various ,link chronic kidney diseas ischem cardiomyopathi comprehens,chronic kidney diseas ckd emerg substanti contributor variou,2023-11-16,False,True,False,False,False,False,False,False
38004346,Helicobacter pylori (H. pylori) Infection-Associated Dyslipidemia in the Asir ,OBJECTIVES: H. pylori-associated dyslipidemia has been reported to be a major ,helicobact pylori pylori dyslipidemia asir,object dyslipidemia report major,2023-11-13,False,True,False,False,False,False,False,False
38004330,Angina and Non-Obstructive Coronary Artery (ANOCA) Patients with Coronary ,Angina and Non-Obstructive Coronary Artery (ANOCA) patients often lack a clear ,angina coronari arteri anoca patient coronari,angina coronari arteri anoca patient often lack clear,2023-11-10,False,True,False,True,False,False,False,True
38004300,Improving Chest Monitoring through Magnetic Resonance Angiogram Image Contrast ,Magnetic resonance angiography is a medical procedure used to offer an image of ,improv chest monitor magnet reson angiogram imag contrast,magnet reson angiographi medic procedur use offer imag,2023-11-03,False,True,True,False,False,True,False,False
38004277,COVID-19 and Kidney: The Importance of Follow-Up and Long-Term Screening.,"Renal involvement and kidney injury are common in COVID-19 patients, and the ",kidney import screen,renal involv kidney injuri common patient,2023-10-30,False,True,True,True,False,False,False,False
38004228,Carnosine Did Not Affect Vascular and Metabolic Outcomes in Patients with ,Atherosclerotic cardiovascular disease (ASCVD) is the leading cause of morbidity ,carnosin affect vascular metabol outcom patient,atherosclerot cardiovascular diseas ascvd lead caus morbid,2023-11-19,False,True,False,False,False,True,False,False
38004191,"Meat-Free Mondays in Hospital Cafes in Aotearoa, New Zealand.",Current human meat consumption levels contribute to environmental degradation and ,monday hospit cafe aotearoa new zealand,current human meat consumpt level contribut environment degrad,2023-11-16,False,True,False,False,False,True,False,False
38004170,Sleeve Gastrectomy Provides Cardioprotection from Oxidative Stress In Vitro Due ,"Bariatric surgery, including sleeve gastrectomy (SG), improves systolic and ",sleev gastrectomi provid cardioprotect oxid stress vitro due,bariatr surgeri includ sleev gastrectomi sg improv systol,2023-11-14,False,True,True,False,False,False,False,False
38004050,New Insights into the Education of Children with Congenital Heart Disease with ,"Background and Objectives: Patients with congenital heart disease (CHD), ",new insight educ children congenit heart diseas,background object patient congenit heart diseas chd,2023-11-14,False,True,False,False,False,False,False,False
38004042,Risk Factors of Postoperative Hospital-Acquired Pneumonia in Patients Undergoing ,Background and Objectives. Hospital-acquired pneumonia is one of the ,risk factor postop pneumonia patient undergo,background object pneumonia one,2023-11-13,False,True,False,False,False,False,False,True
38004034,Echocardiographic Changes in Saudi Patients with Type 2 Diabetes Mellitus.,Background and Objectives: Cardiovascular disease is one of the leading causes of ,echocardiograph chang saudi patient type 2 diabet mellitu,background object cardiovascular diseas one lead caus,2023-11-10,False,True,False,False,False,False,False,False
38004030,Common Complications and Cardiopulmonary Resuscitation in Patients with Left ,Heart failure remains a major global burden regarding patients' morbidity and ,common complic cardiopulmonari resuscit patient left,heart failur remain major global burden regard patient morbid,2023-11-10,False,True,True,False,False,False,False,False
38004016,In-Hospital Outcomes Following Surgical Revascularization of Chronic Total ,Background and Objectives: Patients with chronic total occlusions of the coronary ,outcom follow surgic revascular chronic total,background object patient chronic total occlus coronari,2023-11-08,False,True,False,False,False,False,False,False
38004001,The Left Atrial Area Derived Cardiovascular Magnetic Resonance Left Ventricular ,Background and objectives: Evaluating left ventricular filling pressure (LVFP) ,left atrial area deriv cardiovascular magnet reson left ventricular,background object evalu left ventricular fill pressur lvfp,2023-11-04,False,True,False,False,False,False,False,False
38003986,Implementation of the Baveno Classification in Obstructive Sleep Apnea and Its ,Background and Objectives: The Baveno classification represents a new approach to ,implement baveno classif obstruct sleep apnea,background object baveno classif repres new approach,2023-11-01,False,True,False,True,False,False,False,False
38003903,Analysis of Prevalence and Clinical Features of Aortic Stenosis in Patients with ,"Aortic stenosis (AS) is the most commonly diagnosed valvular heart disease, and ",analysi preval clinic featur aortic stenosi patient,aortic stenosi commonli diagnos valvular heart diseas,2023-11-09,False,True,True,True,False,False,False,False
38003878,Anomalous Left Coronary Artery from the Pulmonary Artery: How to Diagnose and ,Anomalous origin of the left coronary artery from the pulmonary artery (ALCAPA) ,anomal left coronari arteri pulmonari arteri diagnos,anomal origin left coronari arteri pulmonari arteri alcapa,2023-10-31,False,True,False,True,False,False,False,True
38003857,A Novel Strategy for Emergency Treatment of Coronary Perforations by Placing a ,"We aimed to investigate the safety, feasibility, and long-term results of ",novel strategi emerg treatment coronari perfor place,aim investig safeti feasibl result,2023-10-26,True,True,True,False,False,False,False,False
38003847,Chronic Rhinosinusitis with Nasal Polyps: A Survey on Routine Management and ,Chronic rhinosinusitis with nasal polyps (CRSwNP) is a disease with a significant ,chronic rhinosinus nasal polyp survey routin manag,chronic rhinosinus nasal polyp crswnp diseas signific,2023-10-26,False,True,True,True,False,True,False,False
38003828,Cardiac Abnormalities in a Predictive Mouse Model of Chagas Disease.,Chronic Chagas cardiomyopathy (CCC) results from infection with the protozoan ,cardiac abnorm predict mous model chaga diseas,chronic chaga cardiomyopathi ccc result infect protozoan,2023-11-17,True,True,False,False,False,False,False,False
38003757,Inflicting Significant Losses in Slaughtered Animals: Exposing the Hidden Effects ,"We started a campaign in the heart of Faisalabad, Punjab, Pakistan, to expose the ",inflict signific loss slaughter anim expos hidden effect,start campaign heart faisalabad punjab pakistan expos,2023-10-29,False,True,False,False,False,False,False,False
38003742,Factors Associated with Extended-Spectrum beta-Lactamases and Carbapenem-Resistant ,Klebsiella pneumoniae is one of the leading causes of nosocomial infections. It ,factor associ,klebsiella pneumonia one lead caus nosocomi infect,2023-10-25,False,True,False,False,False,False,False,False
38003687,Is Intrinsic Cardioprotection a Laboratory Phenomenon or a Clinically Relevant ,"Cardiovascular diseases, especially ischemic heart disease, as a leading cause of ",intrins cardioprotect laboratori phenomenon clinic relev,cardiovascular diseas especi ischem heart diseas lead caus,2023-11-18,False,True,True,False,False,False,False,False
38003669,Low Prevalence of HLA-G Antibodies in Lung Transplant Patients Detected using ,Lung transplantation is often complicated by acute and/or chronic rejection ,low preval antibodi lung transplant patient detect use,lung transplant often complic acut chronic reject,2023-11-18,False,True,False,False,False,False,False,False
38003660,Improved Reversion of Calcifications in Porcine Aortic Heart Valves Using ,"Calcified aortic valve disease in its final stage leads to aortic valve stenosis, ",improv revers calcif porcin aortic heart valv use,calcifi aortic valv diseas final stage lead aortic valv stenosi,2023-11-17,True,True,False,False,False,False,False,False
38003575,Immune Status of Individuals with Traumatic Spinal Cord Injury: A Systematic ,Individuals with spinal cord injury (SCI) have higher infection rates compared to ,immun statu individu traumat spinal cord injuri systemat,individu spinal cord injuri sci higher infect rate compar,2023-11-16,False,True,False,False,False,False,False,False
38003449,Maternal Pre-Existing Diabetes: A Non-Inherited Risk Factor for Congenital ,Congenital heart defects (CHDs) are the most common form of birth defects in ,matern diabet risk factor congenit,congenit heart defect chd common form birth defect,2023-11-13,False,True,False,False,True,False,False,False
38003397,"MicroRNAs: Midfielders of Cardiac Health, Disease and Treatment.",MicroRNAs (miRNAs) are a class of small non-coding RNA molecules that play a role ,microrna midfield cardiac health diseas treatment,microrna mirna class small rna molecul play role,2023-11-11,False,True,True,False,False,False,False,False
38003393,Identification and Functional Verification of CITED2 Gene Promoter Region in ,Patent ductus arteriosus (PDA) is a common congenital heart disease. CITED2 plays ,identif function verif cited2 gene promot region,patent ductu arteriosu pda common congenit heart diseas cited2 play,2023-11-11,False,True,False,False,False,False,False,False
38003275,Impaired Angiogenic Function of Fetal Endothelial Progenitor Cells via PCDH10 in ,"Maternal hyperglycemia, induced by gestational diabetes mellitus (GDM), has ",impair angiogen function fetal endotheli progenitor cell via pcdh10,matern hyperglycemia induc gestat diabet mellitu gdm,2023-11-08,False,True,False,False,False,False,False,False
38003001,"Pharmacogenomics of Cardiovascular Drugs for Atherothrombotic, Thromboembolic and ",PURPOSE OF REVIEW: Advances in pharmacogenomics have paved the way for ,pharmacogenom cardiovascular drug atherothrombot thromboembol,purpos review advanc pharmacogenom pave way,2023-11-09,True,True,True,True,False,False,False,False
38002888,Maternal Exercise during Pregnancy Impacts Motor Performance in 9-Year-Old ,"The benefits of maternal physical activity during pregnancy are well documented, ",matern exercis pregnanc impact motor perform,benefit matern physic activ pregnanc well document,2023-11-08,False,True,False,False,True,False,False,False
38002875,Physical Image Quality Metrics for the Characterization of X-ray Systems Used in ,Pediatric interventional cardiology procedures are essential in diagnosing and ,physic imag qualiti metric character system use,pediatr intervent cardiolog procedur essenti diagnos,2023-11-05,False,True,False,False,False,False,False,False
38002838,Multimodality Imaging Assessment of Tetralogy of Fallot: From Diagnosis to ,Tetralogy of Fallot (TOF) is the most common complex congenital heart disease ,multimod imag assess tetralog fallot diagnosi,tetralog fallot tof common complex congenit heart diseas,2023-10-27,False,True,False,False,True,False,False,True
38002803,Low Energy Intake Diagnosed Using the Harris-Benedict Equation Is Associated with ,INTRODUCTION: Insufficient nutrient intake is a strong independent predictor of ,low energi intak diagnos use equat associ,introduct insuffici nutrient intak strong independ predictor,2023-11-20,False,True,False,False,False,False,False,False
38002795,Cardiac Magnetic Resonance Identifies Responders to Cardiac Resynchronization ,Background: The response to cardiac resynchronization therapy (CRT) depends on ,cardiac magnet reson identifi respond cardiac resynchron,background respons cardiac resynchron therapi crt depend,2023-11-20,False,True,False,False,False,False,False,False
38002780,External Validation and Recalibration of a Mortality Prediction Model for ,BACKGROUND: Stroke is a highly prevalent disease that can provoke severe ,extern valid recalibr mortal predict model,background stroke highli preval diseas provok sever,2023-11-18,False,True,False,False,False,False,False,False
38002770,The Influence of Rheumatoid Arthritis and Osteoarthritis on the Occurrence of ,Rheumatoid arthritis (RA) increases the risk of cardiovascular mortality and ,influenc rheumatoid arthriti osteoarthr occurr,rheumatoid arthriti ra increas risk cardiovascular mortal,2023-11-18,False,True,False,True,False,False,False,False
38002762,"Novel Genetic Microvascular Dysplasia Causing Hypoperfusion of Cardiac, Renal, ",BACKGROUND: Microvascular disorders represent an uncommon site of tissue ,novel genet microvascular dysplasia caus hypoperfus cardiac renal,background microvascular disord repres uncommon site tissu,2023-11-17,False,True,False,False,False,False,False,False
38002733,Contemporary Echocardiographic Evaluation of Mitral Regurgitation and Guidance ,Mitral valve regurgitation (MR) is a multifaceted valvular heart disease. ,contemporari echocardiograph evalu mitral regurgit guidanc,mitral valv regurgit mr multifacet valvular heart diseas,2023-11-15,False,True,True,True,False,False,False,False
38002721,Epidemiological Situation of High-Prevalence Non-Communicable Diseases in Spain: ,High-prevalence non-communicable diseases (HNCDs) are an ongoing global public ,epidemiolog situat diseas spain,diseas hncd ongo global public,2023-11-15,False,True,False,False,False,False,False,False
38002718,"Association of Cardiovascular Disease and Pancreatitis: What Came First, the ",(1) Background: Recent studies suggest an association between pancreatitis and ,associ cardiovascular diseas pancreat came first,1 background recent studi suggest associ pancreat,2023-11-15,False,True,False,False,False,False,False,False
38002687,Transcatheter Aortic Valve Implantation for Bicuspid Aortic Valve Disease: ,"Bicuspid aortic valve (BAV) is the most common congenital heart disease, with a ",transcathet aortic valv implant bicuspid aortic valv diseas,bicuspid aortic valv bav common congenit heart diseas,2023-11-14,False,True,False,False,False,False,False,False
38002680,Frequency and Characteristics of Non-Neurological and Neurological Stroke Mimics ,BACKGROUND: Stroke mimics are common in the emergency department (ED) and early ,frequenc characterist neurolog stroke mimic,background stroke mimic common emerg depart ed earli,2023-11-13,False,True,True,True,False,False,False,True
38002675,Dynamic CT Myocardial Perfusion: The Role of Functional Evaluation in the ,"Coronary computed tomography angiography (CTA) is a widely accepted, non-invasive ",dynam ct myocardi perfus role function evalu,coronari comput tomographi angiographi cta wide accept,2023-11-13,False,True,False,False,False,False,False,True
38002674,Fabry Disease: More than a Phenocopy of Hypertrophic Cardiomyopathy.,Fabry disease (FD) is a genetic lysosomal storage disease with frequent ,fabri diseas phenocopi hypertroph cardiomyopathi,fabri diseas fd genet lysosom storag diseas frequent,2023-11-13,False,True,False,False,False,False,False,True
38002671,Menopause Predisposes Women to Increased Risk of Cardiovascular Disease.,"(1) Background: Menopause is an important event in women's lives, possibly ",menopaus predispos women increas risk cardiovascular diseas,1 background menopaus import event women live possibl,2023-11-13,False,True,False,True,False,False,False,False
38002666,Anthracycline's Effects on Heart Rate Variability in Children with Acute ,Anthracycline treatments are known to cause cardiotoxic long-term side effects in ,anthracyclin effect heart rate variabl children acut,anthracyclin treatment known caus cardiotox side effect,2023-11-12,False,True,True,True,False,False,False,False
38002634,Arrhythmias in Patients with Congenital Heart Disease: An Ongoing Morbidity.,"With the aging of congenital heart disease (CHD) patients, the burden of ",arrhythmia patient congenit heart diseas ongo morbid,age congenit heart diseas chd patient burden,2023-11-10,False,True,False,False,True,False,False,False
38002624,Gender Differences in Antitussive Prescriptions for Chronic Cough in Korea.,Background: We investigated the differences in the characteristics and prognoses ,gender differ antituss prescript chronic cough korea,background investig differ characterist prognos,2023-11-09,False,True,True,False,False,False,False,False
38002599,Cardiovascular Disease in Diabetes and Chronic Kidney Disease.,Chronic kidney disease (CKD) is a common occurrence in patients with diabetes ,cardiovascular diseas diabet chronic kidney diseas,chronic kidney diseas ckd common occurr patient diabet,2023-11-08,False,True,False,False,False,False,False,False
38002526,Pilot Findings Indicate a Cognitive Behavioral Healthy Lifestyle Intervention for ,Research has indicated strong associations between post-traumatic stress and ,pilot find indic cognit behavior healthi lifestyl intervent,research indic strong associ stress,2023-11-08,False,True,False,False,False,False,False,False
38002443,Automatic Segmentation and Assessment of Valvular Regurgitations with Color ,This study investigated the automatic segmentation and classification of mitral ,automat segment assess valvular regurgit color,studi investig automat segment classif mitral,2023-11-16,False,True,False,False,False,False,False,True
38002431,Development and Evaluation of a Natural Language Processing System for Curating a ,BACKGROUND: Although electronic health records (EHR) provide useful insights into ,develop evalu natur languag process system curat,background although electron health record ehr provid use insight,2023-11-10,False,True,True,False,False,False,False,False
38002379,Automated Segmentation and Measurements of Pulmonary Cysts in ,(1) Background: Lymphangioleiomyomatosis is a genetic disease that affects mostly ,autom segment measur pulmonari cyst,1 background lymphangioleiomyomatosi genet diseas affect mostli,2023-10-27,False,True,False,True,False,False,False,False
38002371,A Glutaraldehyde-Free Crosslinking Method for the Treatment of Collagen-Based ,"Biological bioprostheses such as grafts, patches, and heart valves are often ",crosslink method treatment,biolog bioprosthes graft patch heart valv often,2023-10-25,False,True,True,False,False,False,False,False
38002102,Effect of Cerebral Small Vessel Disease Burden on Infarct Growth Rate and Stroke ,This study aimed to investigate the association between cerebral small vessel ,effect cerebr small vessel diseas burden infarct growth rate stroke,studi aim investig associ cerebr small vessel,2023-11-20,False,True,True,False,False,False,False,False
38002063,Gut-Kidney-Heart: A Novel Trilogy.,The microbiota represents a key factor in determining health and disease. Its ,novel trilog,microbiota repres key factor determin health diseas,2023-11-15,False,True,False,False,False,False,False,False
38002052,Risk Factors and Cellular Differences in Heart Failure: The Key Role of Sex ,Patients with heart failure are conventionally stratified into phenotypic groups ,risk factor cellular differ heart failur key role sex,patient heart failur convent stratifi phenotyp group,2023-11-14,False,True,True,False,False,False,False,False
